CMDLINE 'C:\Program Files\Python39\python.exe' artificialneuralnetwork.py
MEM 1.714844 1741795114.1180
MEM 15.554688 1741795114.2247
MEM 23.996094 1741795114.3352
MEM 29.476562 1741795114.4451
MEM 35.253906 1741795114.5561
MEM 40.234375 1741795114.6670
MEM 45.105469 1741795114.7776
MEM 50.968750 1741795114.8885
MEM 58.152344 1741795114.9985
MEM 68.058594 1741795115.1105
MEM 73.781250 1741795115.2222
MEM 77.457031 1741795115.3325
MEM 83.636719 1741795115.4439
MEM 90.617188 1741795115.5518
MEM 101.367188 1741795115.6627
MEM 177.652344 1741795115.7742
MEM 283.343750 1741795115.8861
MEM 308.257812 1741795115.9982
MEM 318.605469 1741795116.1081
MEM 329.820312 1741795116.2196
MEM 341.468750 1741795116.3316
MEM 353.050781 1741795116.4436
MEM 364.472656 1741795116.5556
MEM 375.714844 1741795116.6666
MEM 387.109375 1741795116.7776
MEM 397.269531 1741795116.8886
MEM 408.375000 1741795117.0006
MEM 417.187500 1741795117.1116
MEM 425.222656 1741795117.2236
MEM 407.886719 1741795117.3346
MEM 358.199219 1741795117.4466
MEM 159.941406 1741795117.5579
MEM 184.761719 1741795117.6689
MEM 194.589844 1741795117.7777
MEM 206.472656 1741795117.8880
MEM 162.699219 1741795117.9990
MEM 162.839844 1741795118.1110
MEM 165.621094 1741795118.2220
MEM 170.937500 1741795118.3326
MEM 177.914062 1741795118.4428
MEM 178.191406 1741795118.5534
MEM 178.250000 1741795118.6634
MEM 178.250000 1741795118.7744
MEM 183.003906 1741795118.8869
MEM 181.058594 1741795118.9963
MEM 181.289062 1741795119.1080
MEM 182.078125 1741795119.2190
MEM 182.078125 1741795119.3310
MEM 182.097656 1741795119.4420
MEM 182.097656 1741795119.5531
MEM 182.097656 1741795119.6623
MEM 182.097656 1741795119.7733
MEM 182.343750 1741795119.8847
MEM 181.906250 1741795119.9945
MEM 182.953125 1741795120.1062
MEM 182.953125 1741795120.2177
MEM 182.960938 1741795120.3288
MEM 183.117188 1741795120.4387
MEM 203.671875 1741795120.5507
MEM 183.687500 1741795120.6602
MEM 183.558594 1741795120.7715
MEM 183.558594 1741795120.8826
MEM 183.570312 1741795120.9930
MEM 183.570312 1741795121.1030
MEM 188.601562 1741795121.2144
MEM 183.570312 1741795121.3244
