210949737 function calls (208232742 primitive calls) in 417.518 seconds

   Ordered by: cumulative time
   List reduced from 2238 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
384615/306978    0.299    0.000   20.524    0.000 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
     1106    0.053    0.000   19.102    0.017 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_linesearch.py:83(phi)
     1109    0.007    0.000   19.070    0.017 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:275(fun)
     1110    0.002    0.000   19.007    0.017 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:260(_update_fun)
     1108    0.002    0.000   19.004    0.017 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:162(update_fun)
     1108    1.992    0.002   19.002    0.017 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:140(fun_wrapped)
11992/9592    0.037    0.000   18.723    0.002 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:560(__get__)
    41085    0.988    0.000   18.366    0.000 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\text.py:734(draw)
     3594    0.181    0.000   18.016    0.005 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:1294(_update_ticks)
  2991600    6.574    0.000   17.432    0.000 C:\Users\davii\OneDrive\Skrivbord\Project_HPC\artificialneuralnetwork.py:23(grad_g)
     7192    0.055    0.000   17.293    0.002 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:1133(set_clip_path)
      600    0.004    0.000   15.848    0.026 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\pyplot.py:1193(clf)
      601    0.005    0.000   15.833    0.026 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\figure.py:3126(clear)
      601    0.013    0.000   15.667    0.026 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\figure.py:905(clear)
     8971    0.156    0.000   14.214    0.002 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:397(__init__)
     8971    0.146    0.000   13.366    0.001 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:454(__init__)
     3594    0.028    0.000   13.347    0.004 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:1641(get_major_ticks)
     4796    0.088    0.000   13.192    0.003 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\axis.py:869(clear)
   402908    2.762    0.000   12.234    0.000 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\artist.py:1173(_update_props)
aming\Python\Python39\site-packages\matplotlib\axis.py:969(set_tick_params)
   333704    0.268    0.000    9.887    0.000 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\artist.py:1209(_internal_update)
    50070    1.852    0.000    9.682    0.000 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\text.py:358(_get_layout)
    56226    1.243    0.000    9.674    0.000 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\matplotlib\lines.py:287(__init__)
